,Date,Region,Country,Title,Content,URL
152,11/26/2014,MENA,Iraq,IS fighters battle army near Baiji refinery,"IS insurgents battled Iraqi forces in the center of Baiji on 25 November, a week after the army broke their prolonged siege of the country's largest oil refinery just outside the town, an army officer and residents said. The renewed fighting in Baiji by the IS militants, who control thousands of square miles of territory in Iraq and Syria, appeared aimed at reimposing that stranglehold around the oil facility 4 km to the north. The IS fighters were present in four of Baiji's 12 neighborhoods, as well as areas on the perimeter of the refinery complex. But the army controlled its southern approaches, preventing insurgents from surrounding it.",
153,11/26/2014,MENA,Lebanon,Tripoli is target for IS Group,"Sunni Muslim-majority Tripoli is seen as particularly vulnerable to becoming a foothold for militants from Syria, including the Islamic State group, to expand into Lebanon. Years of neglect have deepened poverty in the city, Lebanon's second largest. Many among its conservative Sunni residents are bitter over what they see as domination of the central government by Shiites, the Hezbollah group in particular giving fertile ground for the sectarian hatred that militants often feed on.",
154,11/26/2014,MENA,Libya,Libya air strike hits Tripoli's last functioning airport,"A Libyan air force jet has carried out two attacks on Maitiga air base in Tripoli, the Libyan capital's last functioning airport. The strikes hit an area near the runway without damaging it, but caused some damage to nearby civilian homes. The coalition of militias that controls Tripoli called it a ""provocative"" move by foreign-backed forces. Local media reports said flights were initially redirected to the city of Misrata but later resumed at Maitiga.",
155,11/26/2014,MENA,Syria,Air raids on IS-held town of Raqa kill 63 civilians,"A wave of Syrian regime air strikes on the IS group’s self-proclaimed capital of Raqa, in the east, killed at least 63 people, including 36 civilians on 25 November, the Syrian Observatory for Human Rights said. “The death toll has risen to at least 63 in air raids on Raqa,” said the Observatory director, updating its earlier toll of at least 23 killed. “Dozens more were wounded, some of them critically. We fear the death toll may rise further,” the Observatory director reported.",
156,11/26/2014,SA,Afghanistan,President orders military review,"President Ashraf Ghani has ordered a top-to-bottom review of the operations of Afghanistan's defense forces, including discussing the resumption of controversial night raids banned by his predecessor. The move appears aimed at revamping the military for the fight against the Taliban amid new indications that U.S. and international forces will play a greater role than initially envisaged after the 13-year U.S.-led combat mission formally ends next month. The wholesale review is already underway, presidential spokesman Nafizullah Salarzai told The Associated Press, saying Ghani had instructed the National Security Council to work on a manual of guidelines and standards for military operations.",
157,11/26/2014,SA,Afghanistan,Around 1.2 million children in Afghanistan are acutely malnourished,"U.N. humanitarian coordinator Mark Bowden says that almost 8,000 civilians have been killed in the war with Taliban-led insurgents this year, and more than 100,000 people have been forced from their homes. As the conflict expands in the coming year, more help will be needed, he says. Around 1.2 million children in Afghanistan are acutely malnourished, half a million of them younger than five years old. Half a million children die each year of preventable disease, and already 4,000 families are facing the onset of winter without adequate housing. The UN said about 8,000 civilians had been killed and injured in the Afghan war this year. Mark Bowden said 22 per cent of the victims were children.",
158,11/26/2014,SA,Pakistan,Gunmen Kill 4 Polio Workers in Pakistan,"A Pakistani police spokesman says gunmen have killed four health workers administering polio vaccines in a southwestern city. Those killed in the Wednesday attack in Quetta included three women. He says the vaccination team of three women and three men was waiting for a police escort when the two gunmen opened fire on them. Local militants oppose the vaccination campaign, alleging that western governments would use it as a cover to spy on insurgents.",
159,11/26/2014,WCA,Burkina Faso,24 killed in Burkina's anti-Compaore uprising,"Twenty-four people were killed and 625 people were wounded in the popular uprising that toppled long-time president Blaise Compaore in October, a committee appointed by Prime Minister Isaac Zida to probe the violence said Wednesday. Among causes of the fatalities were gunshot wounds, serious burns or suffocation, said Clarisse Merindol-Ouoba, who heads the committee.",
160,11/26/2014,WCA,CAR,UN eyes sanctions against former CAR president,"A UN panel is calling for targeted sanctions against former CAR president Michel Djotodia, accused of trying to derail the political transition in Bangui, diplomats said Tuesday. Djotodia rose to power in March 2013 after his Seleka rebel movement overthrew longtime leader Francois Bozize, but he stepped down in January amid chaos in his country. A panel of experts have listed Djotodia, who lives in exile in Cotonou, among about 15 names of individuals who should be punished for hampering peace efforts in the Central African Republic. The targeted sanctions would include a visa ban and an assets freeze.",
161,11/26/2014,WCA,Mali,Two soldiers killed in landmine explosion,"A mine explosion hit a government minister's convoy in northern Mali on 25 November, killing two soldiers and injuring nine others, a colonel in the Malian army said. It was not immediately clear who was responsible. Al Qaeda-linked militants continue to carry out attacks despite a French-led intervention last year to drive them out of the north.  In a separate incident on 25 November, a mine exploded beneath a water truck near Tessalit, in the Kidal region, a spokesperson for the UN peace-keeping mission said.",
162,11/26/2014,WCA,Mali,Increased tension between armed groups limits access in the north,"The breakdown of the ceasefire agreement between separatist groups and the Malian government has led to increased incidents of armed groups competing for power and territorial control. Clashes between these groups have caused delays and suspension of some humanitarian activities. The delivery of government services continues to be weak in many areas of northern Mali. The region is therefore highly dependent on humanitarian aid. The capacity of the armed groups, in terms of weaponry as well as tactical skill, appears to be increasing, as rocket and IED attacks seem to be hitting their target with ever greater precision.",
163,11/26/2014,WCA,Nigeria,Maiduguri city hit by 'deadly blasts',"Two female suicide bombers have blown themselves up at a crowded market in Maiduguri city, killing at least 30 people, witnesses say. One teenage girl blew herself up first and as people gathered to help victims, the second girl detonated herself, the witnesses added. Boko Haram has not commented on the explosions. It has been blamed for at least five female suicide bombings in Nigeria since June. The girls, dressed in full hijab, entered the busy market and detonated their explosives, said the coordinator of a government-backed vigilante group in Borno.",
164,11/26/2014,WCA,Togo,Leader rules out limiting presidential mandates,"Togo leader on 25 November rejected opposition calls for limiting the number of presidential mandates and gave a strong signal that he would seek re-election next year. The head of state has come under mounting pressure to change the constitution to limit a president to a maximum two, five-year terms of office from the current provision of no limit. The President has been in power since 2005 and took over from his father, who governed the country for 38 years.",
165,06/25/2014,GENERAL,Across Regions ,Turkey evacuates hundreds of citizens from Libya after threat,"Turkey has been evacuating hundreds of citizens from Libya after a threat from a renegade general fighting Islamists in the east, Ankara's embassy and airport officials said on Tuesday. On Sunday, retired general Khalifa Haftar called on Turks and Qataris to leave eastern Libya within two days, accusing both their countries of supporting ""terrorism."" Haftar has declared war on militants in eastern Libya, deepening turmoil in the oil-producing state where the government is unable to control armed groups which helped oust Muammar Gaddafi in 2011 but defy state authority.",
166,06/25/2014,GENERAL,Across Regions ,"Surging environmental crime funds conflicts, hurts growth - UN","Surging environmental crime, from illegal logging to elephant poaching, is worth up to $213 billion a year and is helping to fund armed conflicts while cutting economic growth, a UN and Interpol report said on Tuesday. The study, released during a UN meeting of environment ministers in Nairobi, called for tougher action to prevent crimes such as illegal logging, fishing, mining, dumping of toxic waste and trade in rare animals and plants. ""Many criminal networks are making phenomenal profits from environmental crime,"" Achim Steiner, head of the UNEP, told Reuters. ""It is a financing machine.",
167,06/25/2014,CEE/CIS,Across CEE/CIS,"NATO dashes Georgia, Montenegro membership hopes","NATO will not approve a formal step to membership for Georgia at its summit in Britain in September and will delay taking a decision on whether to admit Montenegro until next year, NATO officials said on Wednesday.  NATO members have agreed in principle to draw up a substantive package of cooperation with Georgia that would ""help it come closer to NATO"", Secretary-General Anders Fogh Rasmussen told reporters during a meeting of alliance foreign ministers.  But that falls short of an invitation to join NATO's Membership Action Plan - a formal step towards NATO membership - that Georgia had hoped for.",
168,06/25/2014,CEE/CIS,Across CEE/CIS,Putin says will continue to protect ethnic Russians in Ukraine,"Moscow will continue to protect ethnic Russians in eastern Ukraine, President Vladimir Putin said on 24 June after dismissing a week-long ceasefire between pro-Kremlin rebels and Ukrainian troops as ""too short"". ""We will always protect ethnic Russians in Ukraine, as well as the part of Ukrainian people who ... feel part of the wider Russian world, and we will not only monitor this but also react,"" Putin said during a visit to Austria. The Russian leader however insisted that a seven-day truce between separatist rebels and forces loyal to Kiev in Ukraine's restive east be followed by concrete talks.",
169,06/25/2014,CEE/CIS,Across CEE/CIS,"Over 14,000 Ukrainian refugees accommodated in Russia","The total number of Ukrainian refugees staying in temporary accommodation sites in Russia exceeds 14,000, the Russian Ministry of Emergency Situations said on 23 June. ""A total of 211 temporary accommodation sites have been established, with over 14,200 people - nearly 6,500 children - living in them,"" a ministry spokesperson said. ""Six more mobile temporary accommodation sites have been set up with a capacity of 3,000 people.",
170,06/25/2014,CEE/CIS,Turkey,Court acquits 25 in coup plot trial,"A Turkish court on Tuesday acquitted more than two dozen people in a retrial after they were convicted over an alleged coup plot in 2012 against Turkey's government. Last October, an appeals court ordered a retrial of 88 people, including former army chiefs, who had been sentenced to prison terms of up to 20 years. The criminal court in Istanbul acquitted a total of 25 defendants, citing a lack of tangible, credible evidence against them, and decided to review the dossiers of the remaining suspects, the private Dogan news agency said. Those acquitted were largely mid-ranking former army officials but also included Omer Faruk Yarman, the former CEO of Turkish defence and software manufacturer Havelsan.",
171,06/25/2014,CEE/CIS,Ukraine,"At least 423 people killed since April, more than 40,000 displaced","While there have been several steps recently to help de-escalate tensions in Ukraine, including a ceasefire that seems to be holding and the start of peace talks, the situation on the ground remains deeply worrying, senior UN officials reported to the Security Council on 24 June. Ivan Šimonović, Assistant Secretary-General for Human Rights, told the Council that the peace plan and ceasefire are positive steps in the right direction. Estimates based on information gathered from official sources indicate that from 15 April to 20 June, 423 people, including servicemen and civilians, have been killed. As of 23 June, the UNHCR has profiled more than 46,100 IDPs – 11,500 from Crimea and nearly 34,600 from the east. ",
172,06/25/2014,CEE/CIS,Ukraine,International push to save Ukraine truce,"International efforts to save Ukraine's fragile ceasefire are set to intensify as Kiev threatens to scrap the truce after pro-Russian rebels downed an army helicopter. Nine servicemen were killed when the Mi-8 helicopter was brought down on Tuesday, underscoring the limited control both Russia and senior rebel leaders seem to have over some militia units that are apparently operating according to their own rules in Ukraine's heavily Russified rustbelt.",
173,06/25/2014,EAP,Across EAP,China sends minister-level official to Taiwan for first time since split in the 1940s,"China has sent its first ever ministerial-level official to Taiwan for four days of meetings to rebuild ties with the self-ruled island that Beijing claims as its own, after mass protests in Taipei set back relations earlier this year. Zhang Zhijun, minister of Beijing’s Taiwan Affairs Office, reached the island’s main airport just before noon Wednesday to speak privately with his government counterpart. He sidestepped scores of anti-China protesters to enter a nearby hotel for the talks.",
175,06/25/2014,EAP,Thailand,Opponents of Thai junta launch democracy campaign,"Opponents of Thailand's junta launched a campaign on Tuesday to restore democracy and ""oppose the military dictatorship and its aristocratic network"", the first sign of organised resistance to the army since it seized power last month. Jarupong Ruangsuwan, chairman of the Puea Thai Party that led the government ousted by the military, said in an open letter to fellow Thais that the military council had no legitimacy and cast doubt on its promise to transfer power back to civilian authorities at some point.",
176,06/25/2014,ESA,Kenya,Opposition leader demands dialogue after spate of attacks,"Kenya's veteran opposition leader demanded on Tuesday a national dialogue by 7 July and sought a timetable to pull Kenyan troops out of Somalia, hours after a fresh attack on the coast killed five people. Raila Odinga, who was President Uhuru Kenyatta's main challenger in last year's election, has called for nationwide rallies next month over what he said were public worries that include security failings, corruption and rising living costs. His comments have set him on a collision course with the government, which has dismissed the deadline as a bid by the former prime minister to create a crisis that will haul him back to the centre of politics. ",
177,06/25/2014,LAC,Across LACR,US sends more agents to border amid child immigrant crisis,"Homeland Security Secretary said on 24 June the United States is sending more agents to the border with Mexico to help deal with a flood of undocumented children, mostly from Central America, crossing into the US. One hundred and fifteen experienced agents have been sent from less active areas to the Rio Grande Valley, and a further 150 may join them, based on a review of operations there last week, the Homeland Security Secretary said in testimony prepared for a congressional hearing on 24 June. In the fiscal year through September 2013, US agents picked up more than 24,000 unaccompanied children at the southern border. From October to mid-June this year, that number more than doubled to over 52,000, and US authorities have been grappling with how best to deal with the crisis.",
178,06/25/2014,LAC,Brazil,Risk of child exploitation at World Cup – UNICEF mention,"The FIFA World Cup being played in Brazil has sounded a warning for organisations fighting exploitation of children and adolescents, during an event that has attracted 3.7 million tourists to the 12 host cities.
As well as revenue, business and employment opportunities, the World Cup also increases the risks of labour and sexual exploitation of children, according to NGOs and UNICEF. The wave of tourists between 12 June and 13 July in the cities where FIFA World Cup matches are being played has multiplied temporary demand for services and increased child labour and the vulnerability of children’s rights, according to Flora Werneck, the coordinator of Childhood Brasil.
",
179,06/25/2014,LAC,Brazil,Polio virus sample found at airport,"A strain of the polio virus has been found at an international airport in Brazil, but there are no human cases, the WHO has said. A WHO statement released on Monday said the virus was found in samples taken from sewage at Viracopos International Airport in Sao Paulo state in March. It said the local population's high immunity to the disease ""appears to have prevented transmission"". Brazil has been polio-free since 1989 and has high vaccination coverage. The WHO said the sample was a close match with a recent strain isolated in a case in Equatorial Guinea.",
180,06/25/2014,LAC,Colombia,"Over 4,000 indigenous people displaced in 5 months","Over 4000 indigenous people were victims of displacement amid violence across Colombia during the first five months of 2014, the UN reported. In their most recent humanitarian affairs report, Colombia’s OCHA said the in the five months to May 2014, ten cases of mass displacements resulting in 4,500 indigenous people from five different states were forced to leave their homes. The report said that cultural and physical extinction was a real risk for the affected communities (Awa, Embera, Eparara Siapidara, Nasa and Nukak). These communities are part of the 35 indigenous groups recognized by the Constitutional Court of Colombia as being in danger of extinction.",
181,06/25/2014,LAC,Peru,Chikungunya virus spreads to Peru,"Peru reported its first cases of the chikungunya virus, in two people who recently traveled to the Dominican Republic, authorities said. The Health Ministry Director said the man and woman who were diagnosed in Lima had recently traveled to the Dominican Republic where the virus has been detected. The virus has spread across the Caribbean, to Central America and now South America. In the Caribbean, 16 countries have seen cases and the WHO counts 4,500 confirmed cases since the virus first appeared in December 2013.",
182,06/25/2014,MENA,Across MENA,"Syrian warplanes strike in Iraq, killing 57 civilians, official says ","At least 57 Iraqi civilians were killed and more than 120 others were wounded by what local officials say were Syrian warplanes that struck several parts of Anbar province Tuesday. Sabah Karkhout, the head of Iraq's Anbar provincial council, said that the attacks struck markets and fuel stations in areas such as Rutba, al-Walid and Qaim.",
183,06/25/2014,MENA,Across MENA,Israel's crackdown on Hamas slows in search for missing teens,"Israel eased a crackdown on Hamas in the occupied West Bank on Tuesday due to the fear of a Palestinian uprising linked to the search for three Israeli teenagers. Israel has accused Hamas of orchestrating the abduction of the Jewish seminary students on June 12, and the Israeli military's raids of Palestinian towns and cities have undermined President Mahmoud Abbas. Militants in the Gaza Strip, a coastal enclave where Hamas is dominant and has vowed revenge at Israel's crackdown, fired rockets into Israel and Israel responded with air strikes at militant targets there, the Israeli army said in a statement.",
186,06/25/2014,MENA,Egypt,"Preparing Egyptians for austerity, Sisi cuts own pay","Egypt's new president pledged on Tuesday to give up half his salary and property and called on the Egyptian people to make similar sacrifices, trying to prepare the public for a period of painful economic austerity. In an impromptu speech at a military graduation ceremony, Abdel Fattah al-Sisi said he had refused to sign off on a 2014/15 budget proposal following lengthy discussions this week because it was too dependent on ballooning borrowing. ""We said we would revise this budget because I cannot bear to accept it when it contains this level of deficit,"" he said. ",
187,06/25/2014,MENA,Egypt,"4 bombs in Cairo metro stations, at least 2 hurt","Four makeshift bombs exploded within minutes of each other at three Cairo metro stations during morning rush hour on Wednesday, wounding at least two people, police said. The explosive devices were “very primary” and of “low intensity,” a police official told AFP. Militants have stepped up attacks in Egypt, mostly against security forces, since the army ousted president Mohammed Mursi in July 2013 and the authorities launched a deadly crackdown on his supporters.",
188,06/25/2014,MENA,Egypt,Egyptian president ignores Obama call for clemency over al-Jazeera journalists,"The future of three al-Jazeera journalists jailed in Egypt looks bleaker after president, Abdel Fatah al-Sisi, refused a pardon, ignoring pleas from Barack Obama to release them and other political prisoners. The defendants in the trial have been portrayed as terrorists – known in the media as ""the Marriott cell"" – and students with Islamist links were added to the case to make it seem like the journalists had been collaborating with dissidents.",
190,06/25/2014,MENA,Lebanon,Abdullah Azzam Brigades warn Hezbollah of more attacks,"The Abdullah Azzam Brigades announced Tuesday that explosions in Beirut’s southern suburbs were a series of many attacks to come as long as Hezbollah was fighting in Syria, in an indirect claim to Monday’s suicide attack that killed one and wounded 25. Sheikh Sirajeddine Zuraiqat, the Al-Qaeda affiliated group’s religious guide, tweeted that the recent targeting of General Security head Maj. Gen. Abbas Ibrahim and the explosions in the southern suburbs confirmed that “you [Hezbollah] will not be living safely, until safety is returned to the people of Syria and Lebanon.”",
191,06/25/2014,MENA,Libya,Libyans vote for new parliament in test for transitio,"Libyans vote for a new parliament on Wednesday, an election officials hope will ease the chaos that has gripped the OPEC oil producer since the fall of Muammar Gaddafi three years ago. Marking another step in its transition after decades of one-man rule, Libya is set to hold the vote as the North African country is slipping deeper into turmoil after a renegade former army general launched a campaign against Islamist militants in the east. The country badly needs a functioning government and parliament to impose authority over heavily armed former rebels, militias and tribes that helped oust Gaddafi, but who now defy state authority, carving out fiefdoms. ",
192,06/25/2014,MENA,State of Palestine,Palestinian prisoners suspend hunger strike,"Scores of Palestinians on hunger-strike suspended their protest against detention without charges by Israel on Wednesday, and an Israeli official said there had been no major change of policy. Qadoura Fares, a Palestinian official advocating for the prisoners, told Reuters the hunger-strike had been suspended overnight and reasons for the move would be given later.",
193,06/25/2014,MENA,Sudan,"Sudan war-zone bombing may be 'starvation' policy, says Amnesty","Intensified bombing in Sudan's war-torn South Kordofan may be part of an attempt to starve the population, Amnesty International said on Wednesday. The air raids in recent weeks are ""unprecedented in their scale and impact,"" the London-based watchdog said, citing human rights monitors. In the last week of May, 59 bombs fell in and around Kauda, a stronghold of the Sudan People's Liberation Movement-North (SPLM-N), Amnesty said in a briefing paper. Between May 15 and 22, Sudan's air force dropped around 200 bombs over the agricultural area of Tangal in Umm Durain district, severely disrupting the planting season, it said.",
194,06/25/2014,MENA,Sudan,Sudan death row woman Meriam Ibrahim detained again,"The Sudanese Foreign Ministry summoned the American and South Sudanese ambassadors on Wednesday after a Christian-convert woman attempted to travel to the US using documents issued by the embassy of South Sudan, Sudan's top security service said on its official Facebook page. Mariam Yahya Ibrahim, 27, who was released from death row on Monday, was detained as she and her family sought to fly out of Khartoum on Tuesday. Her lawyer Mohaned Mostafa told Reuters that she is expected to stay in police custody for 24 hours.",
195,06/25/2014,MENA,Syria,Damascus mortar fire kills five people,"Rebel mortar fire on a government-held district of Damascus killed five people on 24 June, state media said, as a car bomb killed one person in a pro-government area of the city of Homs. Five people were also wounded by the mortar fire on the south Damascus district of Kissweh, the state SANA news agency reported. The car bomb in Homs wounded 14 people in a district mainly inhabited members of the same Alawite community as President Bashar al-Assad, the Syrian Observatory for Human Rights said. Southeast of Damascus, pro-government forces fired three missiles at the rebel-held town of Mleiha, which has been virtually flattened by months of bombardment by the army and its Lebanese militia ally Hezbollah. The death toll from a 20 June truck bombing in the central province of Hama meanwhile rose to 43, including 11 children, the Observatory said.",
196,06/25/2014,ROSA,Across ROSA,"Polio spread feared as nearly 500,000 Pakistanis uprooted - UN","About 50,000 Pakistanis have crossed into eastern Afghanistan to escape air strikes over the past 10 days and 435,000 have fled within their homeland, which could fuel the spread of polio as many are not vaccinated, UN agencies said on Tuesday. Pakistan's military gave residents of North Waziristan until the end of Monday to leave the remote mountainous region ahead of a widely anticipated major ground offensive by the army against militants. The number of Pakistanis who have fled to Afghanistan since military operations began on 15 June jumped from 7,000 last Friday to an estimated 50,000, said UNHCR’s Dan McNorton. ",
197,06/25/2014,ROSA,Afghanistan,Afghan forces battle major Taliban offensive ,"About 100 Taliban fighters have been killed in five days of fighting with the government forces in southern Afghanistan after hundreds of armed rebels launched an offensive in the area to gain territory recently vacated by the US troops, officials have said.
Local officials in Helmand province said that more than 800 Taliban were involved in the clashes in which at least 21 Afghan soldiers and 40 civilians were also killed.
",
198,06/25/2014,ROSA,Pakistan,1 dead after shots fired at Pakistani plane,"Authorities in Pakistan were looking for a gunman who opened fire at a plane Tuesday evening just as it was landing in the volatile northwest, killing one person and wounding two others, officials said, casting fresh doubts about security at the country's airports. The violence in Peshawar comes just two weeks after gunmen laid siege to the country's busiest airport in Karachi in an attack that shocked Pakistanis and the international community and helped trigger a long-awaited military offensive against militants in the northwest. A female passenger on board the plane died on the way to the hospital, said Mashood Tajwar, a spokesman for the national carrier, Pakistan International Airlines. He said 178 passengers and an undetermined number of crew were on board.",
199,06/25/2014,ROSA,Pakistan,"450,000 displaced as Pakistan attacks militants","More than 450,000 Pakistanis have fled their homes for safer areas in the past two weeks as the military has attacked suspected anti-government militant hideouts in northwestern Pakistan, disaster management officials said Tuesday. Many of the displaced civilians have moved from the North Waziristan region, where the military campaign is largely focused, to camps in Pakistan's nearby Khyber-Pakhtunkhwa province, according to the country's army.",
200,06/25/2014,WCA,Across WCA,Cameroon troops kill 8 suspected Boko Haram gunmen,"Cameroonian security forces killed eight gunmen believed to be members of Boko Haram, the militant group sowing terror in Nigeria, a paramilitary official said on 24 June. ""Eight Boko Haram were killed during a mixed patrol of soldiers and paramilitary officers around Mora (northern Cameroon)"", the official said.",
201,06/25/2014,WCA,CAR,Further fighting kills over 50,"More than 50 people have been killed in two days of clashes in CAR, witnesses and officials said on Tuesday. Witnesses in Bambari, 380km northwest of the capital Bangui, said an initial attack early on Monday by anti-Balaka led to waves of reprisals by Muslim youths and fighting inside the town. Robert Ponsien, an MSF doctor and project coordinator for medical aid agency MSF in Bambari, said rising tension there triggered clashes on Monday during which 34 people were killed, while another 17 were killed in Liwa. ""There was a lot of violence. In the hospital, we had 28 wounded by gunshot and machete,"" Ponsien told Reuters by telephone, adding that the upsurge of violence forced several hundreds to flee to Bambari's Catholic church premises.",
202,06/25/2014,WCA,CAR,Minorities trapped in 16 sites in CAR - UN,"About 20,000 people are trapped in 16 minority communities in CAR because ""if they leave, they may be attacked before they reach safety,"" said the top U.N. official in the country, which has been racked by sectarian violence. United Nations envoy to the Central African Republic, retired Lieutenant General Babacar Gaye of Senegal, told the U.N. Security Council on Tuesday that the few Muslim communities left in the capital, Bangui, remain largely confined to their neighborhoods.""They are encircled by anti-balaka (Christian militia) who are not only preventing people from leaving but are also cutting off food and medical supplies,"" Gaye told the 15-member council.",
203,06/25/2014,WCA,Nigeria,Gunmen kill 38 in Kaduna state raids,"Unidentified gunmen killed 38 people, mostly women and children, in raids on two villages in northern Nigeria's Kaduna state. The late Monday attacks targeted the remote villages of Fadan Karshi and Nandu in southern Kaduna, the head of the area's local government, Emmanuel Adamu Danzaria, told AFP. Ahmed Maiyaki, spokesman for Kaduna Governor Mukhtar Yero, confirmed the attack and the death toll but declined to discuss which group may have been responsible. ",
204,06/25/2014,WCA,Nigeria,Scores abducted in northeast Nigeria,"Suspected Boko Haram fighters have abducted 60 girls and women and 31 boys from villages in northeast Nigeria, according to witnesses and a vigilante commander. Al Jazeera's Andrew Simmons, reporting from Bauchi in northern Nigeria, said the abduction happened over a three-day period - Thursday, Friday and Saturday - and took place in three villages about 60km from Maiduguri, the capital of Borno state. ""A viligante commander in the town of Damboa has confirmed that three villages have been attacked by insurgents and a total of at least 90 people, most of them young people, around 60 females and at least 30 males “he said. ""It's unclear but there's also a report that four who tried to resist were shot.""
",
205,07/23/2014,GENERAL,Across Regions,Malala tells Girl Summit education is key to ending child marriage,"Pakistani teenage rights activist Malala Yousafzai, who survived being shot in the head by the Taliban, told an international summit that getting girls into class is crucial for ending child marriage. Contrary to some perceptions, she said Islam positively encouraged girls to get an education and those who thought otherwise should study the Koran. The 17-year-old spoke on Tuesday at Girl Summit in London, a conference aimed at galvanising a worldwide movement to end child marriage and female genital mutilation (FGM) in a generation.",
206,07/23/2014,GENERAL,Across Regions,"700 Million Women Were Child Brides, UNICEF Says","UNICEF released staggering new data Tuesday outlining the prevalence of child marriage and genital mutilation/cutting that continues to impact hundreds of millions of girls and women around the world. More than one in three women in 2014 (some 250 million) were married before they were 15, the data says. Some 700 million women alive today were married before they were 18. And while girls are one third less likely to experience female genital mutilation/cutting (FGM/C) today than they were 30 years ago, more than 130 million girls and adult women have experienced FGM/C in the Middle East and Africa, according to information released as part of UNICEF’s first-ever Girl Summit with the UK Government.",
207,07/23/2014,GENERAL,Across Regions,"Iraq, Nigeria record most attacks, fatalities by extremists–report","Nigeria registered the most fatalities per attack by insurgent or extremist groups and Iraq posted the highest number of attacks by such groups in the last year, according to global risk analytics company Maplecroft. Maplecroft said global fatalities linked to militant extremists were up 30 percent compared to the previous five-year average. The firm used a new security monitoring service known as Terrorism and Security Dashboard (MTSD) which “logs, analyses and plots all reported incidents of terrorism, piracy, political violence and human rights abuses by security forces.”",
208,07/23/2014,CEE/CIS,Ukraine,Ukraine says pro-Russian rebels abandon positions on Donetsk outskirts,"Pro-Russian rebels are leaving their positions on the outskirts of the eastern Ukrainian city of Donetsk and retreating towards its centre, Ukrainian military officials said on Wednesday. Residents said the rebels, who want independence from Kiev for Ukraine's Donbass region, had dug trenches in downtown Donetsk outside the main university, where they have been living in student dormitories. Fighting was also reported in Luhansk overnight, officials in Kiev said.",
209,07/23/2014,CEE/CIS,Ukraine,Residents flee Donetsk clashes,"The woman leading the evacuation out of the Kuybyshevskoye area of this eastern Ukrainian city waved her hands frantically in the air as she tried to get people to listen to her cries. In the distant background, the rumble of heavy artillery fire could be heard as it struck a residential area wedged in between the Donetsk airport and the main train station in this city held by pro-Russian rebel groups. The city’s Health Department reported that at least four people had been killed and two injured in the fighting by midday. Those who have been able to leave the city entirely already have. But there are still hundreds of thousands of Donetsk’s 1 million residents who have stayed behind - out of necessity, willingness to stick it out or a simple lack of resources to leave.",
210,07/23/2014,CEE/CIS,Ukraine,US says rebels downed MH17 plane 'by mistake',"Ukrainian Prime Minister Arseny Yatseniuk said on Wednesday Kiev would impose sanctions on Russian individuals and companies who directly or indirectly support ""terrorists"" fighting against government troops in the country's east. Yatseniuk told a meeting of his ministers that he had set up a special committee to work on the punitive measures. ""I instruct the committee to propose for the government's consideration a list of individual and sector sanctions on Russian citizens and legal entities supporting and financing terrorism in Ukraine in 10 days,"" he said. He did not give any details of what form the sanctions could take.",
211,07/23/2014,EAP,Across EAP,Conditions not right in Myanmar for return – UNHCR,"Conditions in Myanmar are not yet right for refugees living in camps near the border to return home, the UN said on Wednesday as concerns mount after the Thai military government pledged to repatriate them. “There’s been a lot of positive developments (in Myanmar) in the last two and a half years or so but… we don’t feel that the conditions are fully in place for organised refugee return,” Vivian Tan, Bangkok-based spokesperson for UNHCR, told Thomson Reuters Foundation in an interview. Challenges include the absence of a permanent ceasefire in eastern Myanmar, land mines and unmarked minefields, and a lack of infrastructure, basic services and jobs, she said. “All of this affects the sustainability and safety of any refugee return.”",
212,07/23/2014,EAP,China,"Storm death toll rises to 46, as Typhoon Matmo nears","The death toll from the strongest storm to hit China for decades has reached 46 with another 25 missing, authorities said, as another typhoon approaches the country's eastern coastline. Typhoon Rammasun has left 19 people dead in the province of Hainan, 18 in southwestern Yunnan and nine in Guangxi, the Ministry of Civil Affairs said in a statement on its website. Over 620,000 people have been relocated and some 252,000 are in need of ""emergency aid"", the statement said. Meanwhile, Typhoon Matmo was expected to make a landfall on China's eastern coast on 23 July, the National Meteorological Centre (NMC) said.",
213,07/23/2014,EAP,China,City sealed off after bubonic plague death,"China has sealed off parts of its north-western city of Yumen after a resident died of bubonic plague last week, state media said. A 38-year-old was infected by a marmot - a wild rodent - and died on July 16. Several districts of the city of about 100,000 people in Gansu province were subsequently turned into special quarantine zones, Xinhua said.  It said 151 people who came into direct contact with the victim were also placed in quarantine. None have so far shown any signs of infection, the news agency said.  The 30,000 people living in Yumen are not being allowed to leave, and police at roadblocks on its perimeter are telling motorists to find alternative routes, state broadcaster China Central Television (CCTV) said.",
214,07/23/2014,EAP,Indonesia,Indonesian president-elect Jokowi calls for unity after bitter election,"Joko ""Jokowi"" Widodo was declared the winner of Indonesia's presidential election on Tuesday, bringing the promise of major reforms to the world's third largest democracy. The Elections Commission, known as KPU, said the Jakarta governor had won by just over six percentage points, with 53.15 percent of the nearly 130 million votes cast on July 9. It was the closest and most bitterly fought election in Indonesia's history, pitting Jokowi against former general Prabowo Subianto, whose promise of strong leadership brought echoes of decades under autocratic rule.",
